"year","station","length","age","strata2","month","day","avgdepth","region","cruise6","lat","lon","depth","stratum","regf","area"
1982,111,112,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,99,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,99,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,105,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,111,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,100,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,102,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,102,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,112,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,103,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,106,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,98,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,93,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,96,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,102,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,100,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,88,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,102,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,95,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,100,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,91,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,100,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,104,4,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,97,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,112,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,99,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,104,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,105,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,112,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
1982,111,95,5,"85",8,2,9,"SVAtoSNE",198204,38.3,74.8833,9,"2S","SVAtoSNE","SVAtoSNE"
