Date,Time (approx),Sample ID,Site,Shell treatment,Stratum,Collection type,Water/Sed  Temp,pH temp,Salinity,DO_mg_L,pH_total_scale,pH_NBS,DIC ,Field Alkalinity,MMA Alkalinity,Lab Alkalinity,Alkalinity,Data Flag,Flag comment,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),pH_questionable_BW,pH_total_scale_final,pCO2_final,Omega_Ar_final,Calculation method,Note
2/24/2023,,392,Eel Pond,Shell,2cm,Shell,5.0,15.0,30.20,,7.575,,,1974.17,,,1974.17,,,7.715,,,7.715,791.5,0.66,7.715,,,,7.715,791.5,0.66,pH/ALK,
3/23/2023,,425,Eel Pond,Shell,2cm,Shell,7.6,20.8,29.51,,7.420,,2206.69,2056.83,,,2056.83,,,7.592,,,7.592,1133.9,0.57,7.592,,,,7.592,1133.9,0.57,pH/ALK,
4/19/2023,,443,Eel Pond,Shell,2cm,Shell,12.2,17.3,30.00,,7.481,,2272.95,2266.17,,,2266.17,,,7.548,,,7.548,1423.6,0.70,7.548,,,,7.548,1423.6,0.70,pH/ALK,
5/8/2023,,467,Eel Pond,Shell,2cm,Shell,15.2,23.0,30.59,,7.402,,2265.62,2314.89,,,2314.89,,,7.500,,,7.500,1652.5,0.73,7.500,,,,7.500,1652.5,0.73,pH/ALK,
6/9/2023,,495,Eel Pond,Shell,2cm,Shell,18.5,20.0,30.93,,7.317,,2203.84,2257.82,,,2257.82,,,7.335,,,7.335,2433.2,0.57,7.335,,,,7.335,2433.2,0.57,pH/ALK,
5/21/2022,,,Provincetown,Shell,2cm,shell,19.0,22.5,31.82,,7.292,,2542.86,,,2538.15,2538.15,Bad,Data measured in lab so likely bad from mercuric chloride,,,,,,,7.333,,,,,,,bad,
6/2/2022,,,Provincetown,Shell,2cm,shell,16.8,18.3,31.67,,7.506,,2575.59,,,2432.59,2432.59,NBS,pH in NBS scale,,,,,,,7.387,,,,7.387,,,pH only,
6/15/2022,,,Provincetown,Shell,2cm,Shell,18.1,,32.45,,,,3516.66,,,,,,no pH value,,,,,,,,,,,,,,,
7/1/2022,,,Provincetown,Shell,2cm control,Shell,21.7,14.5,32.67,,7.670,,2304.93,,,2295.12,2295.12,,,,,,,,,7.571,,,,7.571,,,pH only,
7/1/2022,,,Provincetown,Shell,2cm,Shell,21.7,15.8,32.67,,7.611,,2224.97,,,2200.67,2200.67,,,,,,,,,7.532,,,,7.532,,,pH only,
7/14/2022,,108,Provincetown,Shell,2cm,Shell,21.3,23.6,32.29,,7.402,,2810.49,,,,,,,,,,,,,7.430,,,,7.430,,,pH only,
8/3/2022,,6,Provincetown,Shell,2cm control,Shell,24.5,14.1,32.82,,7.477,,2665.01,,,,,,,,,,,,,7.348,,,,7.348,,,pH only,
8/3/2022,,4,Provincetown,Shell,2cm,Shell,24.5,13.0,32.82,,7.534,,2668.48,,,,,,,,,,,,,7.388,,,,7.388,,,pH only,
8/14/2022,,816,Provincetown,Shell,2cm,Shell,16.6,22.4,33.03,,7.381,,3018.07,2619.5,,,2619.50,,,7.453,,,7.453,2082.3,0.83,7.453,,,,7.453,2082.3,0.83,pH/ALK,
8/29/2022,,,Provincetown,Shell,2cm,Shell,20.7,20.7,32.55,,7.707,,2761.75,,,,,NBS,"bad pH temp. 20.7 pH temp is due to faulty probe, but 20.7 water/sed temp is correct (from YSI). pH in NBS scale",,,,,,,7.578,,,,7.578,,,pH only,
10/11/2022,,205,Provincetown,Shell,2cm,Shell,12.3,16.3,32.97,,7.481,,2827.10,2497.30,,,2497.30,,,7.534,,,7.534,1597.9,0.79,7.534,,,,7.534,1597.9,0.79,pH/ALK,
10/25/2022,,226,Provincetown,Shell,2cm,Shell,16.4,16.7,32.77,,7.511,,2706.68,2954.91,,,2954.91,,,7.515,,,7.515,2024.5,1.06,7.515,,,,7.515,2024.5,1.06,pH/ALK,
11/4/2022,,256,Provincetown,Shell,2cm,Shell,16.9,17.6,32.35,,7.589,,2452.87,2174.67,,,2174.67,,,7.598,,,7.598,1216.1,0.94,7.598,,,,7.598,1216.1,0.94,pH/ALK,
11/29/2022,,,Provincetown,Shell,2cm,Shell,8.4,8.3,33.31,,7.599,,,2337.89,,,2337.89,,,7.598,,,7.598,1252.0,0.74,7.598,,,,7.598,1252.0,0.74,pH/ALK,
12/4/2022,,310,Provincetown,Shell,2cm,Shell,8.6,4.1,31.80,,7.664,,2513.05,2033.73,,,2033.73,,,7.600,,,7.600,1090.7,0.63,7.600,,,,7.600,1090.7,0.63,pH/ALK,
1/21/2023,,354,Provincetown,Shell,2cm,Shell,4.7,10.1,32.30,,7.625,,2767.15,2654.19,,,2654.19,,,7.703,,,7.703,1085.7,0.89,7.703,,,,7.703,1085.7,0.89,pH/ALK,black residue
2/21/2023,,373,Provincetown,Shell,2cm,Shell,4.6,6.7,31.07,,7.655,,2479.36,2453.56,,,2453.56,,,7.685,,,7.685,1051.9,0.77,7.685,,,,7.685,1051.9,0.77,pH/ALK,
3/20/2023,,401,Provincetown,Shell,2cm,Shell,5.9,18.7,31.94,,7.857,,2006.32,2177.00,,,2177.00,Questionable,uncharacteristically high pH and low DIC for sediment samples,8.051,,,8.051,374.6,1.59,8.051,,,,8.051,374.6,1.59,questionable,
4/17/2023,,434,Provincetown,Shell,2cm,Shell,12.3,14.3,31.33,,7.505,,3182.18,2983.68,,,2983.68,,,7.531,,,7.531,1939.0,0.92,7.531,,,,7.531,1939.0,0.92,pH/ALK,
5/10/2023,,481,Provincetown,Shell,2cm,Shell,17.3,18.1,31.95,,7.480,,2354.72,2295.93,,,2295.93,,,7.490,,,7.490,1680.6,0.79,7.490,,,,7.490,1680.6,0.79,pH/ALK,
6/11/2023,,499,Provincetown,Shell,2cm,Shell,17.9,22.1,30.85,,7.370,,2741.98,2903.19,,,2903.19,,,7.421,,,7.421,2541.4,0.86,7.421,,,,7.421,2541.4,0.86,pH/ALK,
