"","jour.1","E.1","V.1","Er.1","DFM.1","L.1","e.1","PM.1","Pc1.1","f.1","Pg.1","Pa.1","Temp.1","cT.1","Xnum.1","Pl1.1","Pl2.1","Pm1.1","Pj.1","Pr.1","jour.2","E.2","V.2","Er.2","DFM.2","L.2","e.2","PM.2","Pc1.2","f.2","Pg.2","Pa.2","Temp.2","cT.2","Xnum.2","Pl1.2","Pl2.2","Pm1.2","Pj.2","Pr.2","jour.3","E.3","V.3","Er.3","DFM.3","L.3","e.3","PM.3","Pc1.3","f.3","Pg.3","Pa.3","Temp.3","cT.3","Xnum.3","Pl1.3","Pl2.3","Pm1.3","Pj.3","Pr.3"
"222",222,733.063026485966,1.57925245680749,70.4536514716552,0.183128469988063,3.63915490357927,0.562336911085988,9.02796573077093,53.9083183970777,0.966101694915254,42.7617557533016,114.208123089627,286.460520833333,0.543511015671663,19483,0,0,9.02796573077093,0.209299618810904,1.90929729419425,222,574.01871973653,1.23118240818893,34.7919778232446,0.141868187020666,3.34932652468905,0.564820552022872,7.0300983680003,45.4539709428982,0.966101694915254,36.637531516842,96.6669451576304,286.460520833333,0.543511015671663,19483,0,0,7.0300983680003,0.209299618810904,1.577041439245,222,581.530994574453,1.24760750397455,36.5762845141941,0.143820761025498,3.36415513297283,0.564679114763129,7.12433949501079,45.8683229628573,0.966101694915254,36.9413583754062,97.5289310427998,286.460520833333,0.543511015671663,19483,0,0,7.12433949501079,0.209299618810904,1.59332547362939
"223",223,689.188454459987,1.60123460731488,72.7593611593065,0.182986003210344,3.65596203879608,0.521422613527723,10.2003712022616,64.6177229100759,0.155899616702655,51.8778751974483,20.7431508840975,287.335208333333,0.60704765716177,19484,0,0,10.2003712022616,0.233766822714712,2.30570968765127,223,536.765425218416,1.25013037557212,36.7127932793842,0.14177082658199,3.3664212347958,0.520158934621396,7.9521912580139,54.8239765611788,0.155899616702655,44.7172030243106,17.5706820430648,287.335208333333,0.60704765716177,19484,0,0,7.9521912580139,0.233766822714712,1.92081545613962,223,543.952848746237,1.26670623170521,38.5159945652379,0.143721358981606,3.38123475269358,0.520226157373821,8.05828073935289,55.3047550574691,0.155899616702655,45.0729974443576,17.7266092292531,287.335208333333,0.60704765716177,19484,0,0,8.05828073935289,0.233766822714712,1.93971005104382
"224",224,764.59561919248,1.62374086245466,75.1397521841047,0.188980319017684,3.67301127686891,0.57045569728023,11.3407254168655,67.0922114569873,0.967741935483871,53.1147621298623,142.49937618948,288.1084375,0.665647399257988,19485,0,0,11.3407254168655,0.256332885461386,2.38039102479822,224,600.936817220429,1.26943984152399,38.6828347836312,0.146883241451652,3.38366529139487,0.573486929913623,8.85403379359902,56.6507478297311,0.967741935483871,45.5703396464236,120.822139831744,288.1084375,0.665647399257988,19485,0,0,8.85403379359902,0.256332885461386,1.97004150424705,224,608.677865259891,1.28617439218929,40.5061592650305,0.148877329201368,3.39846896164936,0.57331656075362,8.97143210119004,57.1627884288539,0.967741935483871,45.9448587424099,121.887804942507,288.1084375,0.665647399257988,19485,0,0,8.97143210119004,0.256332885461386,1.99016469979257
"225",225,716.923562187134,1.6488825853701,77.7834106092207,0.188945706805572,3.6918716894159,0.52673231049511,11.6243650107732,73.8615916427872,0.174327764141101,59.3344660804524,26.1895346374415,288.201770833333,0.672838587605492,19486,0,0,11.6243650107732,0.259102126445527,2.64365842511601,225,560.33120625196,1.29116621666894,40.8930084138274,0.146879664330092,3.40285993189782,0.525738149904278,9.08792309062494,62.8314441893576,0.174327764141101,51.2742453420909,22.2258332208891,288.201770833333,0.672838587605492,19486,0,0,9.08792309062494,0.259102126445527,2.21017363019623,225,567.725218869745,1.3080706138488,42.7376310843586,0.148872419019561,3.41764606526912,0.525791830319782,9.20772578188111,63.3733828441126,0.174327764141101,51.6750831164579,22.4207364539666,288.201770833333,0.672838587605492,19486,0,0,9.20772578188111,0.259102126445527,2.2314718193281
"226",226,793.696152212511,1.67191538408227,80.2273135153356,0.195060316492295,3.70898251806327,0.575104568533911,11.6187600834984,68.675096329989,0.973597359735974,54.3574049607221,145.447686355366,288.064375,0.662259847572468,19487,0,0,11.6187600834984,0.255028379653707,2.44390290611486,226,625.768607667908,1.31097417111171,42.9224650185122,0.152104566863647,3.42017294152872,0.578264423244007,9.09813144519776,58.1293889144645,0.973597359735974,46.7467724849283,123.566790330412,288.064375,0.662259847572468,19487,0,0,9.09813144519776,0.255028379653707,2.02945660468475,226,633.721213412495,1.32803879270307,44.7874288451139,0.154141279213563,3.43494885843193,0.578088487453629,9.2172473464339,58.646975582926,0.973597359735974,47.1249020960832,124.642970125676,288.064375,0.662259847572468,19487,0,0,9.2172473464339,0.255028379653707,2.04979776075529
"227",227,748.812442861303,1.69778704299121,82.9561475649683,0.195238006850141,3.72801593442754,0.534314148274643,12.0002826946996,76.0460057455825,0.202898351612546,61.0571150250815,31.1622963943749,288.224375,0.67458325263391,19488,0,0,12.0002826946996,0.259773976168664,2.72883404963273,227,587.439802918527,1.33337657748607,45.2103914685643,0.152281963115945,3.43954473517737,0.53372480132496,9.40960338577507,64.8269828554898,0.202898351612546,52.869679043494,26.4981781061082,288.224375,0.67458325263391,19488,0,0,9.40960338577507,0.259773976168664,2.28792645005209,227,595.070231240235,1.35061385447957,47.0970342826795,0.154318882899228,3.45430293658595,0.533757341139016,9.53208583023613,65.378611036496,0.202898351612546,53.2771457925256,26.7276288642359,288.224375,0.67458325263391,19488,0,0,9.53208583023613,0.259773976168664,2.30960543756563
"228",228,833.086119100834,1.72348360575657,85.6900717113667,0.20198986078402,3.74673008193658,0.585584507505156,12.9209303456552,76.5741838991597,0.977653631284916,60.6438881262675,160.84786013869,288.748125,0.715268241562046,19489,0,0,12.9209303456552,0.275441280838582,2.73392414639839,228,659.371678726071,1.35553120259962,47.4889190628057,0.158062124447684,3.45849002954604,0.589288013196351,10.1476012279326,64.9864853709933,0.977653631284916,52.2849152679806,136.918361178537,288.748125,0.715268241562046,19489,0,0,10.1476012279326,0.275441280838582,2.27852759424145,228,667.610373513884,1.37294460816871,49.3979321120441,0.16014707114467,3.47323653162712,0.589083552274416,10.2787847331321,65.5557025496997,0.977653631284916,52.7005787063645,138.095844823349,288.748125,0.715268241562046,19489,0,0,10.2787847331321,0.275441280838582,2.30089782936462
"229",229,785.343473264634,1.75340212870959,88.8530091597629,0.202408052932046,3.768286069432,0.542606442539266,13.7904095452777,87.8506544336343,0.229557823307141,70.6077141691147,40.1080085974339,289.218541666667,0.752018248591068,19490,0,0,13.7904095452777,0.289593270845568,3.16293744839626,229,618.452622542741,1.38150404908933,50.1504938034079,0.158447768313252,3.48043939458033,0.542326854463468,10.8462478974644,75.0933336246255,0.229557823307141,61.2959177157133,34.1742774412961,289.218541666667,0.752018248591068,19490,0,0,10.8462478974644,0.289593270845568,2.66157474060221,229,626.35554046778,1.39911398857278,52.0841804354924,0.160534530446207,3.49516530981362,0.542343776905497,10.9855808122503,75.72116016015,0.229557823307141,61.7597377536058,34.4663271140456,289.218541666667,0.752018248591068,19490,0,0,10.9855808122503,0.289593270845568,2.68624832344833
"230",230,877.315853990534,1.78202079335222,91.9066403691364,0.209831998664948,3.78867725533925,0.596417045404351,14.3451930351227,85.2349761546152,0.980629539951574,67.5400485566161,177.207356880515,289.4353125,0.768923686151369,19491,0,0,14.3451930351227,0.296103353502918,3.05363120937346,230,697.092407761885,1.40623966792989,52.7047807872976,0.164816528713138,3.50108888374752,0.600534337709463,11.3025654175377,72.5290162186398,0.980629539951574,58.3760604637095,151.168801437784,289.4353125,0.768923686151369,19491,0,0,11.3025654175377,0.296103353502918,2.55428698388963,230,705.652522528457,1.42404286618681,54.6630187208636,0.166955467204227,3.51580173283291,0.600308748441962,11.4466384610744,73.1537312690595,0.980629539951574,58.8321511691111,152.450713329736,289.4353125,0.768923686151369,19491,0,0,11.4466384610744,0.296103353502918,2.57883828537112
"231",231,831.249437604205,1.81331884922242,95.2237919551265,0.210467738754474,3.81072913453981,0.555346482073721,14.3496102984465,91.8216114834205,0.254491728174877,73.8634118536756,45.7551950970921,289.279895833333,0.756807995435041,19492,0,0,14.3496102984465,0.291437745308345,3.31715158599008,231,657.466279095955,1.43347786236807,55.5062000791325,0.165389154509815,3.52354929571718,0.555634660707735,11.3236564333524,78.6986523446117,0.254491728174877,64.282138874116,39.072523678682,289.279895833333,0.756807995435041,19492,0,0,11.3236564333524,0.291437745308345,2.80141929183489,231,665.709070557292,1.45148345227689,57.4898418170932,0.167531414397491,3.53824078836439,0.555621729620657,11.4670155669864,79.3450595811199,0.254491728174877,64.7597831725955,39.4016076099557,289.279895833333,0.756807995435041,19492,0,0,11.4670155669864,0.291437745308345,2.82682309622967
"232",232,920.062895743059,1.84196725821067,98.2872384803254,0.217733692740153,3.83069278521594,0.60512130997384,14.2096084521634,85.166913359445,0.982905982905983,67.6102452122555,173.980371498298,289.019791666667,0.736489071821783,19493,0,0,14.2096084521634,0.283613169827299,3.06344652519889,232,733.516108243087,1.45831089849397,58.0795397076626,0.171635513923169,3.54377980449994,0.609349375976693,11.2330819027382,72.6959999582051,0.982905982905983,58.6059652571094,148.745829105337,289.019791666667,0.736489071821783,19493,0,0,11.2330819027382,0.283613169827299,2.57333962853016,232,742.388107003612,1.47650655497384,60.0873027890565,0.173828212896252,3.55845775850805,0.609119444182094,11.3741780936614,73.3097746002679,0.982905982905983,59.054522364816,149.988811046587,289.019791666667,0.736489071821783,19493,0,0,11.3741780936614,0.283613169827299,2.59746097196323
"233",233,878.480954865849,1.8726129246441,101.54405992185,0.218536439482648,3.85182038444469,0.568317685001894,14.0282438868326,89.8844766001254,0.277862348386797,72.3237727829079,48.3025357229153,288.7546875,0.715780353016232,19494,0,0,14.0282438868326,0.27563848886024,3.25682144152469,233,697.642691379759,1.48503572392877,60.8383072068729,0.172351225285561,3.56529652104492,0.569118868436725,11.1063542827424,77.2113482969594,0.277862348386797,63.0705880261465,41.337931433631,288.7546875,0.715780353016232,19494,0,0,11.1063542827424,0.27563848886024,2.75876749921027,233,706.233089634254,1.50342698014697,62.8706227346506,0.174548413538172,3.57995418108364,0.569078998993962,11.2449306367156,77.8360924797545,0.277862348386797,63.5322034085845,41.6810751103969,288.7546875,0.715780353016232,19494,0,0,11.2449306367156,0.27563848886024,2.78331994559411
"234",234,960.36719409535,1.90002873173728,104.481122399864,0.225331581595907,3.87052678989038,0.612327810596653,13.451219437215,81.3495619622298,0.984703632887189,64.7013047398991,163.235801191731,288.231145833333,0.675106070498783,19495,0,0,13.451219437215,0.259975307101562,2.93706247801407,234,767.860328409495,1.50886300489041,63.3150381717286,0.178204576898363,3.58426373778268,0.616508766590887,10.6672025658831,69.6362919073095,0.984703632887189,56.2323830694692,139.853928937046,288.231145833333,0.675106070498783,19495,0,0,10.6672025658831,0.259975307101562,2.4767309648557,234,777.026012191699,1.52743317247651,65.3700303593927,0.180448375448962,3.59890813522758,0.61628298311223,10.799309324232,70.2133061537828,0.984703632887189,56.6546138977071,141.006228711227,288.231145833333,0.675106070498783,19495,0,0,10.799309324232,0.259975307101562,2.4994076247421
"235",235,923.51123823041,1.92952477626632,107.623958004835,0.2262661684474,3.89045271777506,0.579827303280783,13.5057227336334,86.5164857106036,0.299812235386384,69.6106650885435,49.6605298456636,288.139791666667,0.668060867809082,19496,0,0,13.5057227336334,0.257262283455522,3.1428356049712,235,735.987845910452,1.53462885841769,65.9840106692819,0.179033528715742,3.60455072856971,0.580997305595542,10.7252511747304,74.458900280124,0.299812235386384,60.8074143243847,42.5864177810813,288.139791666667,0.668060867809082,19496,0,0,10.7252511747304,0.257262283455522,2.66897249755335,235,744.907438163811,1.55338522166717,68.062378385258,0.181282721814794,3.61917634518442,0.580938258377407,10.8572510389144,75.0536974381895,0.299812235386384,61.2468360899543,42.9351234103016,288.139791666667,0.668060867809082,19496,0,0,10.8572510389144,0.257262283455522,2.69234802586532
"236",236,1008.80213149377,1.95903346160168,110.790746113786,0.233435097136373,3.91018500909015,0.623836776453961,14.3544382479705,87.4309728733379,0.986159169550173,69.6404973914453,172.721866136694,288.541770833333,0.699188398972266,19497,0,0,14.3544382479705,0.26924912497138,3.1667881089508,236,809.230873367685,1.56033243827358,68.6632683643197,0.185220436879929,3.62456367855982,0.628292886601546,11.4166635498386,75.0256188297487,0.986159169550173,60.660448459901,148.268646286981,288.541770833333,0.699188398972266,19497,0,0,11.4166635498386,0.26924912497138,2.67925769503774,236,818.744536872217,1.5792786370115,70.7656712671908,0.187518251215699,3.63917501294408,0.628053284412365,11.5561989739662,75.6372011934892,0.986159169550173,61.1084602126189,149.474299901896,288.541770833333,0.699188398972266,19497,0,0,11.5561989739662,0.26924912497138,2.70329288193275
