Date,RCP8.5,SD8.5,RCP6,SD6,RCP4.5,SD4.5,RCP2.6,SD2.6
2019.37,0.201,0.345,0.178,0.154,0.056,0.349,0.331,0.396
2019.45,0.202,0.346,0.178,0.153,0.059,0.351,0.334,0.397
2019.54,0.203,0.347,0.179,0.152,0.062,0.354,0.337,0.398
2019.62,0.204,0.348,0.179,0.151,0.065,0.357,0.340,0.398
2019.71,0.204,0.348,0.179,0.150,0.068,0.359,0.343,0.399
2019.79,0.205,0.349,0.180,0.149,0.071,0.362,0.346,0.400
2019.87,0.206,0.350,0.180,0.148,0.074,0.364,0.350,0.401
2019.96,0.206,0.351,0.180,0.147,0.077,0.367,0.353,0.402
2020.04,0.207,0.351,0.181,0.146,0.079,0.369,0.356,0.403
2020.12,0.208,0.352,0.181,0.145,0.082,0.372,0.359,0.403
2020.20,0.208,0.352,0.181,0.145,0.085,0.374,0.362,0.404
2020.29,0.209,0.353,0.182,0.144,0.088,0.377,0.365,0.405
2020.37,0.210,0.354,0.182,0.143,0.091,0.379,0.369,0.406
2020.45,0.211,0.354,0.183,0.142,0.094,0.381,0.372,0.406
2020.54,0.211,0.354,0.183,0.142,0.097,0.384,0.375,0.407
2020.62,0.212,0.355,0.183,0.141,0.100,0.386,0.378,0.407
2020.71,0.212,0.355,0.184,0.140,0.103,0.389,0.381,0.408
2020.79,0.213,0.355,0.184,0.140,0.106,0.391,0.385,0.409
2020.87,0.214,0.356,0.185,0.139,0.109,0.393,0.388,0.409
2020.96,0.214,0.356,0.185,0.139,0.111,0.395,0.391,0.410
2021.04,0.215,0.356,0.186,0.138,0.114,0.398,0.394,0.410
2021.12,0.215,0.356,0.186,0.138,0.117,0.400,0.397,0.411
2021.20,0.215,0.356,0.187,0.137,0.120,0.402,0.400,0.412
2021.29,0.216,0.356,0.187,0.137,0.123,0.404,0.403,0.412
2021.37,0.216,0.356,0.188,0.137,0.125,0.406,0.406,0.413
2021.45,0.217,0.356,0.188,0.137,0.128,0.408,0.410,0.413
2021.54,0.217,0.356,0.189,0.136,0.131,0.410,0.413,0.414
2021.62,0.218,0.356,0.189,0.136,0.134,0.412,0.416,0.414
2021.71,0.218,0.355,0.190,0.136,0.136,0.414,0.419,0.415
2021.79,0.219,0.355,0.190,0.136,0.139,0.416,0.422,0.415
2021.87,0.219,0.355,0.191,0.136,0.141,0.418,0.425,0.416
2021.96,0.219,0.354,0.191,0.136,0.144,0.420,0.427,0.417
2022.04,0.220,0.354,0.192,0.136,0.146,0.422,0.430,0.417
2022.12,0.220,0.354,0.192,0.136,0.149,0.423,0.433,0.418
2022.20,0.220,0.353,0.193,0.137,0.151,0.425,0.436,0.418
2022.29,0.221,0.353,0.193,0.137,0.154,0.427,0.439,0.419
2022.37,0.221,0.352,0.194,0.137,0.156,0.429,0.442,0.419
2022.45,0.221,0.351,0.194,0.137,0.159,0.430,0.444,0.419
2022.54,0.222,0.351,0.195,0.138,0.161,0.432,0.447,0.420
2022.62,0.222,0.350,0.195,0.138,0.163,0.433,0.450,0.420
2022.71,0.222,0.349,0.196,0.138,0.166,0.435,0.452,0.421
2022.79,0.223,0.348,0.196,0.139,0.168,0.436,0.455,0.421
2022.87,0.223,0.348,0.196,0.139,0.170,0.437,0.457,0.421
2022.96,0.223,0.347,0.197,0.140,0.172,0.439,0.460,0.421
2023.04,0.224,0.346,0.197,0.140,0.174,0.440,0.462,0.422
2023.12,0.224,0.345,0.197,0.141,0.177,0.441,0.464,0.422
