Date,Sample ID,Site,Stratum,Water/Sed  Temp,Salinity,pH temp,pH,Field Alkalinity,Lab Alkalinity,Alk,DIC ,Notes,,pH (DIC/Alk),pCO2 (DIC/Alk),Omega_Ar (DIC/Alk),,pH (pH/Alk),pCO2 (pH/Alk),Omega_Ar (pH/Alk),,pH (pH/DIC),pCO2 (pH/DIC),Omega_Ar (pH/DIC),,pH,pCO2,Omega Ar
11/7/22,277,East Dennis,Bottom water,17.5,32.95,17.5,7.999,2204.42,,2204.42,1997.01,,,8.001,446.0,2.41,,7.999,448.4,2.40,,7.999,448.2,2.40,,7.999,448.4,2.40
12/3/22,304,East Dennis,Bottom water,9.4,31.93,13.2,8.011,2264.58,,2264.58,2025.86,,,8.203,265.0,2.64,,8.073,375.1,2.06,,8.073,364.3,2.00,,8.073,375.1,2.06
1/22/23,361,East Dennis,Bottom water,4.7,31.19,8.4,8.007,2141.44,,2141.44,2030.73,,,7.994,425.3,1.36,,8.068,351.9,1.58,,8.068,356.4,1.60,,8.068,351.9,1.58
2/16/23,366,East Dennis,Bottom water,8.7,31.35,15.1,8.058,2033.44,,2033.44,1983.00,,,7.737,790.2,0.89,,8.163,264.6,2.12,,8.164,285.2,2.29,,8.163,264.6,2.12
3/22/23,418,East Dennis,Bottom water,6.4,31.69,11.3,8.111,2169.06,,2169.06,1960.82,,,8.207,249.0,2.27,,8.193,258.2,2.21,,8.193,257.4,2.20,,8.193,258.2,2.21
4/20/23,455,East Dennis,Bottom water,11.2,30.58,7.8,8.042,2261.00,,2261.00,1997.62,,,8.239,243.0,2.95,,7.986,477.9,1.82,,7.986,451.7,1.72,,7.986,477.9,1.82
5/12/23,493,East Dennis,Bottom water,15.5,31.12,26.1,8.159,2032.15,,2032.15,,,,,,,,8.330,165.2,3.62,,,,,,8.330,165.2,3.62
7/26/21,,Eel Pond,Bottom water,23.8,31.50,20.4,7.580,,1939.36,1939.36,1831.83,,,7.705,862.8,1.47,,7.533,1330.6,1.03,,7.533,1292.5,1.00,,7.705,862.8,1.47
8/13/21,,Eel Pond,Bottom water,26.3,31.29,22.3,7.748,,1812.13,1812.13,1793.59,,,7.381,1817.7,0.76,,7.689,838.2,1.46,,7.689,883.0,1.54,,7.689,883.0,1.54
9/11/21,,Eel Pond,Bottom water,22.3,30.50,21.9,,,1856.17,1856.17,1807.48,,,7.551,1220.9,0.94,,,,,,,,,,7.551,1220.9,0.94
10/6/21,,Eel Pond,Bottom water,18.9,29.40,21.7,7.560,,1840.93,1840.93,1714.08,,,7.873,535.1,1.55,,7.599,1073.7,0.88,,7.598,1024.9,0.84,,7.873,535.1,1.55
11/8/21,,Eel Pond,Bottom water,11.7,30.50,21.1,7.557,,1980.07,1980.07,1910.92,,,7.770,725.2,1.03,,7.691,883.4,0.87,,7.691,873.3,0.86,,7.691,873.3,0.86
12/1/21,,Eel Pond,Bottom water,6.6,30.10,20.9,7.897,,2009.99,2009.99,1852.04,,,8.126,289.5,1.76,,8.127,288.6,1.76,,8.127,288.6,1.76,,8.127,288.6,1.76
